condition,model_key,model,task,n,hallucination_rate,refusal_rate,mean_score
baseline,gemini,Gemini-2.5-flash,affirm_reverse,500,0.364,0.0,63.6
baseline,gemini,Gemini-2.5-flash,case_existence,500,0.046,0.0,95.4
baseline,gemini,Gemini-2.5-flash,citation_retrieval,500,0.628,0.002,68.4
baseline,gemini,Gemini-2.5-flash,cited_precedent,500,0.992,0.002,25.9
baseline,gemini,Gemini-2.5-flash,court_id,500,0.468,0.0,73.9
baseline,gemini,Gemini-2.5-flash,fake_case_existence,500,0.356,0.0,64.4
baseline,gemini,Gemini-2.5-flash,fake_dissent,210,0.6,0.0048,39.7
baseline,gemini,Gemini-2.5-flash,fake_year_overruled,248,0.5484,0.0,45.2
baseline,gemini,Gemini-2.5-flash,majority_author,499,0.6293,0.3687,27.9
baseline,gemini,Gemini-2.5-flash,quotation,500,0.996,0.004,36.0
baseline,gemini,Gemini-2.5-flash,year_overruled,498,0.506,0.0,49.4
baseline,gpt4omini,GPT-4o-mini,affirm_reverse,500,0.542,0.0,45.8
baseline,gpt4omini,GPT-4o-mini,case_existence,500,0.196,0.0,80.4
baseline,gpt4omini,GPT-4o-mini,citation_retrieval,500,0.874,0.0,47.9
baseline,gpt4omini,GPT-4o-mini,cited_precedent,500,0.994,0.0,31.8
baseline,gpt4omini,GPT-4o-mini,court_id,500,0.454,0.0,72.0
baseline,gpt4omini,GPT-4o-mini,fake_case_existence,500,0.24,0.0,76.0
baseline,gpt4omini,GPT-4o-mini,fake_dissent,500,0.688,0.0,31.2
baseline,gpt4omini,GPT-4o-mini,fake_year_overruled,500,0.796,0.0,20.4
baseline,gpt4omini,GPT-4o-mini,majority_author,500,0.628,0.37,24.8
baseline,gpt4omini,GPT-4o-mini,quotation,500,0.458,0.542,32.0
baseline,gpt4omini,GPT-4o-mini,year_overruled,500,0.856,0.0,14.4
baseline,groq,Llama-3.3-70B,affirm_reverse,500,0.516,0.0,48.4
baseline,groq,Llama-3.3-70B,case_existence,500,0.086,0.0,91.4
baseline,groq,Llama-3.3-70B,citation_retrieval,500,0.846,0.002,55.9
baseline,groq,Llama-3.3-70B,cited_precedent,500,1.0,0.0,29.3
baseline,groq,Llama-3.3-70B,court_id,500,0.368,0.0,77.0
baseline,groq,Llama-3.3-70B,fake_case_existence,500,0.682,0.0,31.8
baseline,groq,Llama-3.3-70B,fake_dissent,500,0.484,0.054,48.8
baseline,groq,Llama-3.3-70B,fake_year_overruled,500,0.922,0.0,7.8
baseline,groq,Llama-3.3-70B,majority_author,500,0.626,0.37,26.3
baseline,groq,Llama-3.3-70B,quotation,500,0.77,0.23,36.8
baseline,groq,Llama-3.3-70B,year_overruled,500,0.832,0.0,16.8
premise,gpt4omini,GPT-4o-mini,fake_case_existence,500,0.014,0.0,98.6
premise,gpt4omini,GPT-4o-mini,fake_dissent,500,0.138,0.0,86.2
premise,gpt4omini,GPT-4o-mini,fake_year_overruled,500,0.0,0.0,100.0
premise,groq,Llama-3.3-70B,fake_case_existence,500,0.092,0.0,90.8
premise,groq,Llama-3.3-70B,fake_dissent,500,0.25,0.186,69.3
premise,groq,Llama-3.3-70B,fake_year_overruled,500,0.002,0.0,99.8
structured,gpt4omini,GPT-4o-mini,affirm_reverse,500,0.212,0.526,55.3
structured,gpt4omini,GPT-4o-mini,case_existence,500,0.664,0.0,33.6
structured,gpt4omini,GPT-4o-mini,citation_retrieval,500,0.044,0.908,75.1
structured,gpt4omini,GPT-4o-mini,cited_precedent,500,0.002,0.998,41.3
structured,gpt4omini,GPT-4o-mini,court_id,500,0.338,0.358,71.5
structured,gpt4omini,GPT-4o-mini,fake_case_existence,500,0.014,0.0,98.6
structured,gpt4omini,GPT-4o-mini,fake_dissent,500,0.138,0.0,86.2
structured,gpt4omini,GPT-4o-mini,fake_year_overruled,500,0.0,0.0,100.0
structured,gpt4omini,GPT-4o-mini,majority_author,500,0.004,0.996,11.5
structured,gpt4omini,GPT-4o-mini,quotation,500,0.0,1.0,
structured,gpt4omini,GPT-4o-mini,year_overruled,500,0.04,0.904,58.3
structured,groq,Llama-3.3-70B,affirm_reverse,500,0.484,0.038,49.7
structured,groq,Llama-3.3-70B,case_existence,500,0.434,0.0,56.6
structured,groq,Llama-3.3-70B,citation_retrieval,500,0.756,0.126,55.1
structured,groq,Llama-3.3-70B,cited_precedent,500,0.978,0.022,29.1
structured,groq,Llama-3.3-70B,court_id,500,0.544,0.076,65.7
structured,groq,Llama-3.3-70B,fake_case_existence,500,0.1,0.0,90.0
structured,groq,Llama-3.3-70B,fake_dissent,500,0.254,0.212,67.8
structured,groq,Llama-3.3-70B,fake_year_overruled,500,0.002,0.0,99.8
structured,groq,Llama-3.3-70B,majority_author,500,0.102,0.892,28.4
structured,groq,Llama-3.3-70B,quotation,500,0.086,0.914,33.0
structured,groq,Llama-3.3-70B,year_overruled,500,0.342,0.5,31.6
