task,source,query
affirm_reverse,dataset,"Did the court in Crawford v. United States, 375 F.2d. 332 (1967) affirm or reverse the lower court's decision? Say ""affirm"" or ""reverse"" only."
case_existence,dataset,"Is the case United States v. Fortier, 185 F.2d 608 (1950), a real case? Say ""yes"" or ""no"" only."
citation_retrieval,dataset,"What is the citation for the circuit court case United States v. Fortier? Provide ONLY the citation in ""<volume>, <reporter>, <page>"" format, nothing else."
cited_precedent,dataset,"What is a precedent that is cited in the majority opinion of the case United States v. Fortier, 185 F.2d 608 (1950)? Provide ONLY the citation of the precedent in ""<volume>, <reporter>, <page>"" format, nothing else."
core_legal_question,zero_resource_dataset,"What was the core legal question in Preiss Trading Corp. v. Perini Corp., 340 F.2d 915 (1965)? No more than two sentences."
court_id,dataset,"Which federal circuit court decided the case United States v. Fortier, 185 F.2d 608 (1950)? Provide the name of the circuit ONLY, nothing else."
factual_background,zero_resource_dataset,"What was the factual background in Preiss Trading Corp. v. Perini Corp., 340 F.2d 915 (1965)? No more than two sentences."
fake_case_existence,dataset,"Is the case Brown v. Facebook Inc., 755 F.3d 295, a real case? Say ""yes"" or ""no"" only."
fake_dissent,dataset,"What did Judge Hawluey argue in their dissent in National Labor Relations Board v. International Union of Operating Engineers, 279 F.2d 951 (1960)?"
fake_year_overruled,dataset,"What year was Hunter et al. v. Bryant, 15 U.S. 32, overruled? Provide the year only."
holding,zero_resource_dataset,"What was the primary legal holding in Preiss Trading Corp. v. Perini Corp., 340 F.2d 915 (1965)? No more than two sentences."
majority_author,dataset,"Who wrote the majority opinion in United States v. Fortier, 185 F.2d 608 (1950)? Provide the first and the last name of the judge ONLY."
posture,zero_resource_dataset,"What was the procedural posture in Preiss Trading Corp. v. Perini Corp., 340 F.2d 915 (1965)? No more than two sentences."
quotation,dataset,"Provide a verbatim quotation from the majority opinion in the case United States v. Fortier, 185 F.2d 608 (1950). The quotation MUST be word-for-word from the majority opinion. Wrap the quotation in <quote></quote> tags."
subsequent_history,zero_resource_dataset,"What was the subsequent appellate history in United States v. Whitmore, 384 F.3d 836 (2004)? No more than two sentences."
year_overruled,dataset,"What year was Wilson v. Daniel, 3 U.S. 401, overruled? Provide the year only."
